date,time,core #,n2o[ppm],co2[ppm],h2o[ppm],t1,t2,t3
8/05/2025,11:09:05,C1,0.33635,787.05,14745,22.50,22.31,21.88
8/05/2025,11:09:06,C1,0.33635,786.59,14716.8,22.50,22.31,21.88
8/05/2025,11:09:07,C1,0.33612,786.3,14700.3,22.50,22.31,21.88
8/05/2025,11:09:08,C1,0.33644,785.87,14686.6,22.50,22.31,21.88
8/05/2025,11:09:09,C1,0.3361,784.65,14655.1,22.50,22.31,21.88
8/05/2025,11:09:10,C1,0.33613,784.79,14662.2,22.50,22.31,21.88
8/05/2025,11:09:11,C1,0.33643,785.26,14673,22.50,22.31,21.88
8/05/2025,11:09:12,C1,0.33628,785.83,14692,22.50,22.31,21.88
8/05/2025,11:09:13,C1,0.33644,785.71,14681,22.50,22.31,21.88
8/05/2025,11:09:14,C1,0.33614,784.57,14634.9,22.50,22.31,21.88
8/05/2025,11:09:15,C1,0.33594,784.51,14651,22.50,22.31,21.88
8/05/2025,11:09:16,C1,0.3361,784.59,14643.8,22.50,22.31,21.88
8/05/2025,11:09:17,C1,0.33613,785.34,14673.9,22.50,22.31,21.88
8/05/2025,11:09:18,C1,0.33622,785.34,14683.3,22.50,22.31,21.88
8/05/2025,11:09:19,C1,0.33616,784.94,14674.8,22.50,22.31,21.88
8/05/2025,11:09:20,C1,0.33601,784.66,14683.1,22.50,22.31,21.88
8/05/2025,11:09:21,C1,0.33592,784.32,14679.1,22.50,22.31,21.88
8/05/2025,11:09:22,C1,0.33602,784.74,14696.1,22.50,22.31,21.88
8/05/2025,11:09:23,C1,0.33636,784.84,14708.2,22.50,22.31,21.88
8/05/2025,11:09:24,C1,0.3361,784.91,14721.3,22.50,22.31,21.88
8/05/2025,11:09:25,C1,0.33627,784.95,14732.6,22.50,22.31,21.88
8/05/2025,11:09:26,C1,0.33602,784.81,14737,22.50,22.31,21.88
8/05/2025,11:09:27,C1,0.33589,784.25,14746.4,22.50,22.31,21.88
8/05/2025,11:09:28,C1,0.33611,784.76,14759.5,22.50,22.31,21.88
8/05/2025,11:09:29,C1,0.33605,784.39,14759.9,22.50,22.31,21.88
8/05/2025,11:09:30,C1,0.33612,784.2,14757.2,22.50,22.31,21.88
8/05/2025,11:09:31,C1,0.33628,785.59,14800,22.50,22.31,21.88
8/05/2025,11:09:32,C1,0.33624,785.37,14787.7,22.50,22.31,21.88
8/05/2025,11:09:33,C1,0.33635,786.82,14837.9,22.50,22.31,21.88
8/05/2025,11:09:34,C1,0.336,786.3,14826.7,22.50,22.31,21.88
8/05/2025,11:09:35,C1,0.33619,788.21,14871.8,22.50,22.31,21.88
8/05/2025,11:09:36,C1,0.33606,787.49,14846.1,22.50,22.31,21.88
8/05/2025,11:09:37,C1,0.33577,786.17,14832.2,22.50,22.31,21.88
8/05/2025,11:09:38,C1,0.33575,786.51,14855,22.50,22.31,21.88
8/05/2025,11:09:39,C1,0.33597,786.1,14855.8,22.50,22.31,21.88
8/05/2025,11:09:40,C1,0.33619,786.8,14908.9,22.50,22.31,21.88
8/05/2025,11:09:41,C1,0.33606,786.13,14918.4,22.50,22.31,21.88
8/05/2025,11:09:42,C1,0.33611,784.76,14908.1,22.50,22.31,21.88
8/05/2025,11:09:43,C1,0.33625,785.28,14940.9,22.50,22.31,21.88
8/05/2025,11:09:44,C1,0.33596,785.12,14951,22.50,22.31,21.88
8/05/2025,11:09:45,C1,0.33617,785.77,14977.4,22.50,22.31,21.88
8/05/2025,11:09:46,C1,0.33598,785.44,14969.6,22.50,22.31,21.88
8/05/2025,11:09:47,C1,0.33603,785.58,14985.5,22.50,22.31,21.88
8/05/2025,11:09:48,C1,0.33641,786.83,15023.5,22.50,22.31,21.88
8/05/2025,11:09:49,C1,0.33604,786.3,15015,22.50,22.31,21.88
8/05/2025,11:09:50,C1,0.33635,787.38,15032.2,22.50,22.31,21.88
8/05/2025,11:09:51,C1,0.33613,787.58,15034.3,22.50,22.31,21.88
8/05/2025,11:09:52,C1,0.33619,787.64,15036.6,22.50,22.31,21.88
8/05/2025,11:09:53,C1,0.33606,787.23,15035.5,22.50,22.31,21.88
8/05/2025,11:09:54,C1,0.33616,787.54,15054.3,22.50,22.31,21.88
8/05/2025,11:09:55,C1,0.33591,787,15051.3,22.50,22.31,21.88
8/05/2025,11:09:56,C1,0.33612,787.08,15049.6,22.50,22.31,21.88
8/05/2025,11:09:57,C1,0.33601,787.15,15071.7,22.50,22.31,21.88
8/05/2025,11:09:58,C1,0.33617,788.61,15107.3,22.50,22.31,21.88
8/05/2025,11:09:59,C1,0.33612,788.4,15099.9,22.50,22.31,21.88
8/05/2025,11:10:00,C1,0.33608,788.63,15088.7,22.50,22.31,21.88
8/05/2025,11:10:01,C1,0.33602,790.22,15115.6,22.50,22.31,21.88
8/05/2025,11:10:02,C1,0.33621,790.35,15100.9,22.50,22.31,21.88
8/05/2025,11:10:03,C1,0.33618,791.75,15137.9,22.50,22.31,21.88
8/05/2025,11:10:04,C1,0.33627,792.93,15165.1,22.50,22.31,21.88
8/05/2025,11:10:05,C1,0.33622,793.16,15161.8,22.50,22.31,21.88
8/05/2025,11:10:06,C1,0.3362,793.31,15187.1,22.50,22.31,21.88
8/05/2025,11:10:07,C1,0.33633,792.83,15181.3,22.50,22.31,21.88
8/05/2025,11:10:08,C1,0.33637,792.36,15195.9,22.50,22.31,21.88
8/05/2025,11:10:09,C1,0.33632,791.63,15182.8,22.50,22.31,21.88
8/05/2025,11:10:10,C1,0.33589,790.08,15165.5,22.50,22.31,21.88
8/05/2025,11:10:11,C1,0.33583,789.13,15149.3,22.50,22.31,21.88
8/05/2025,11:10:12,C1,0.33606,790.74,15225,22.50,22.31,21.88
8/05/2025,11:10:13,C1,0.33588,789.79,15207.8,22.50,22.31,21.88
8/05/2025,11:10:14,C1,0.33578,788.86,15182.5,22.50,22.31,21.88
8/05/2025,11:10:15,C1,0.33637,790.14,15244.5,22.50,22.31,21.88
8/05/2025,11:10:16,C1,0.33606,790.04,15230.6,22.50,22.31,21.88
8/05/2025,11:10:17,C1,0.33619,790.44,15223.4,22.50,22.31,21.88
8/05/2025,11:10:18,C1,0.33614,791.16,15238.3,22.50,22.31,21.88
8/05/2025,11:10:19,C1,0.33637,792.11,15258.2,22.50,22.31,21.88
8/05/2025,11:10:20,C1,0.33619,791.03,15244.9,22.50,22.31,21.88
8/05/2025,11:10:21,C1,0.3362,790.98,15243.1,22.50,22.31,21.88
8/05/2025,11:10:22,C1,0.33619,790.65,15259.9,22.50,22.31,21.88
8/05/2025,11:10:23,C1,0.33606,791.34,15254.4,22.50,22.31,21.88
8/05/2025,11:10:24,C1,0.33619,791.95,15277.7,22.50,22.31,21.88
8/05/2025,11:10:25,C1,0.33612,792.55,15299,22.50,22.31,21.88
8/05/2025,11:10:26,C1,0.33604,794.72,15293,22.50,22.31,21.88
8/05/2025,11:10:27,C1,0.33624,799.1,15312.5,22.50,22.31,21.88
8/05/2025,11:10:28,C1,0.33634,802.59,15331.3,22.50,22.31,21.88
8/05/2025,11:10:29,C1,0.33629,805.4,15350,22.50,22.31,21.88
8/05/2025,11:10:30,C1,0.33601,805.83,15315.3,22.50,22.31,21.88
8/05/2025,11:10:31,C1,0.33641,808.24,15356.9,22.50,22.31,21.88
8/05/2025,11:10:32,C1,0.33639,809.92,15367.7,22.50,22.31,21.88
8/05/2025,11:10:33,C1,0.33639,811.71,15375.4,22.50,22.31,21.88
8/05/2025,11:10:34,C1,0.33611,814.02,15359,22.50,22.31,21.88
8/05/2025,11:10:35,C1,0.33621,817.44,15379.4,22.50,22.31,21.88
8/05/2025,11:10:36,C1,0.33621,819.36,15366,22.50,22.31,21.88
8/05/2025,11:10:37,C1,0.33619,821.43,15382.6,22.50,22.31,21.88
8/05/2025,11:10:38,C1,0.33595,824.49,15397.7,22.50,22.31,21.88
8/05/2025,11:10:39,C1,0.33599,827.78,15406.3,22.50,22.31,21.88
8/05/2025,11:10:40,C1,0.33601,831.08,15406.7,22.50,22.31,21.88
8/05/2025,11:10:41,C1,0.33631,833.45,15407,22.50,22.31,21.88
8/05/2025,11:10:42,C1,0.33633,836.43,15414.5,22.50,22.31,21.88
8/05/2025,11:10:43,C1,0.33602,839.09,15388.7,22.50,22.31,21.88
8/05/2025,11:10:44,C1,0.33606,842.19,15375,22.50,22.31,21.88
8/05/2025,11:10:45,C1,0.33629,843.25,15408.9,22.50,22.31,21.88
8/05/2025,11:10:46,C1,0.33588,840.23,15393.4,22.50,22.31,21.88
8/05/2025,11:10:47,C1,0.33617,837.61,15389.3,22.50,22.31,21.88
8/05/2025,11:10:48,C1,0.3361,835.14,15400.1,22.50,22.31,21.88
8/05/2025,11:10:49,C1,0.33641,832.08,15419.2,22.50,22.31,21.88
8/05/2025,11:10:50,C1,0.33611,826.08,15369.8,22.50,22.31,21.88
8/05/2025,11:10:51,C1,0.33598,821.26,15380,22.50,22.31,21.88
8/05/2025,11:10:52,C1,0.33627,816.39,15379,22.50,22.31,21.88
8/05/2025,11:10:53,C1,0.33633,812.93,15403.6,22.50,22.31,21.88
8/05/2025,11:10:54,C1,0.33664,812.17,15404.7,22.50,22.31,21.88
8/05/2025,11:10:55,C1,0.33598,810.34,15360.5,22.50,22.31,21.88
8/05/2025,11:10:56,C1,0.33631,812.17,15413.5,22.50,22.31,21.88
8/05/2025,11:10:57,C1,0.33614,812.18,15421.6,22.50,22.31,21.88
8/05/2025,11:10:58,C1,0.33652,813.17,15422.8,22.50,22.31,21.88
8/05/2025,11:10:59,C1,0.33616,812.68,15421.8,22.50,22.31,21.88
8/05/2025,11:11:00,C1,0.33639,813.6,15445.1,22.50,22.31,21.88
8/05/2025,11:11:01,C1,0.33645,813.63,15470.3,22.50,22.31,21.88
8/05/2025,11:11:02,C1,0.33635,812.64,15451.6,22.50,22.31,21.88
8/05/2025,11:11:03,C1,0.3362,810.12,15422.9,22.50,22.31,21.88
8/05/2025,11:11:04,C1,0.3363,809.81,15466.3,22.50,22.31,21.88
8/05/2025,11:11:05,C1,0.33612,808.37,15416.3,22.50,22.31,21.88
8/05/2025,11:11:06,C1,0.33645,809.7,15467.8,22.50,22.31,21.88
8/05/2025,11:11:07,C1,0.33639,809.73,15458,22.50,22.31,21.88
8/05/2025,11:11:08,C1,0.33622,808.94,15457.5,22.50,22.31,21.88
8/05/2025,11:11:09,C1,0.33611,808.29,15440.3,22.50,22.31,21.88
8/05/2025,11:11:10,C1,0.33628,808.94,15464.3,22.50,22.31,21.88
8/05/2025,11:11:11,C1,0.33635,808.94,15464,22.50,22.31,21.88
8/05/2025,11:11:12,C1,0.33622,808.54,15429.9,22.50,22.31,21.88
8/05/2025,11:11:13,C1,0.33623,808.98,15455,22.50,22.31,21.88
8/05/2025,11:11:14,C1,0.33643,809.87,15464.5,22.50,22.31,21.88
8/05/2025,11:11:15,C1,0.33635,810,15466.5,22.50,22.31,21.88
8/05/2025,11:11:16,C1,0.33602,808.51,15402.1,22.50,22.31,21.88
8/05/2025,11:11:17,C1,0.33627,808.9,15433.3,22.50,22.31,21.88
8/05/2025,11:11:18,C1,0.33617,809.4,15424,22.50,22.31,21.88
8/05/2025,11:11:19,C1,0.33602,810.02,15445.8,22.50,22.31,21.88
8/05/2025,11:11:20,C1,0.33629,810.51,15471,22.50,22.31,21.88
8/05/2025,11:11:21,C1,0.33634,810.22,15473.8,22.50,22.31,21.88
8/05/2025,11:11:22,C1,0.33638,809.46,15469.6,22.50,22.31,21.88
8/05/2025,11:11:23,C1,0.33631,809.14,15487.9,22.50,22.31,21.88
8/05/2025,11:11:24,C1,0.33646,809.37,15499.5,22.50,22.31,21.88
8/05/2025,11:11:25,C1,0.33624,809.26,15500.1,22.50,22.31,21.88
8/05/2025,11:11:26,C1,0.33635,809.23,15516,22.50,22.31,21.88
8/05/2025,11:11:27,C1,0.33626,809.18,15539.5,22.50,22.31,21.88
8/05/2025,11:11:28,C1,0.3359,807.89,15503.7,22.50,22.31,21.88
8/05/2025,11:11:29,C1,0.3364,808.69,15560.5,22.50,22.31,21.88
8/05/2025,11:11:30,C1,0.33618,808.04,15559.6,22.50,22.31,21.88
8/05/2025,11:11:31,C1,0.33619,807.06,15539.9,22.50,22.31,21.88
8/05/2025,11:11:32,C1,0.33639,807.1,15538.2,22.50,22.31,21.88
8/05/2025,11:11:33,C1,0.33658,807.99,15578.3,22.50,22.31,21.88
8/05/2025,11:11:34,C1,0.33632,808.05,15577.2,22.50,22.31,21.88
8/05/2025,11:11:35,C1,0.33654,808.57,15590.4,22.50,22.31,21.88
8/05/2025,11:11:36,C1,0.33639,807.63,15558.6,22.50,22.31,21.88
8/05/2025,11:11:37,C1,0.33627,807.84,15574,22.50,22.31,21.88
8/05/2025,11:11:38,C1,0.33665,809.11,15587.3,22.50,22.31,21.88
8/05/2025,11:11:39,C1,0.33639,809.57,15558.4,22.50,22.31,21.88
8/05/2025,11:11:40,C1,0.33638,810.68,15578.6,22.50,22.31,21.88
8/05/2025,11:11:41,C1,0.33648,811.47,15570.9,22.50,22.31,21.88
8/05/2025,11:11:42,C1,0.33632,812.43,15596.5,22.50,22.31,21.88
8/05/2025,11:11:43,C1,0.33648,814.53,15598.7,22.50,22.31,21.88
8/05/2025,11:11:44,C1,0.33628,814.84,15607.9,22.50,22.31,21.88
8/05/2025,11:11:45,C1,0.3359,812.3,15589.2,22.50,22.31,21.88
8/05/2025,11:11:46,C1,0.33656,811.47,15631,22.50,22.31,21.88
8/05/2025,11:11:47,C1,0.3364,809.77,15615.6,22.50,22.31,21.88
8/05/2025,11:11:48,C1,0.33624,809.83,15588.3,22.50,22.31,21.88
8/05/2025,11:11:49,C1,0.33621,810.05,15598.6,22.50,22.31,21.88
8/05/2025,11:11:50,C1,0.33628,810.96,15641.3,22.50,22.31,21.88
8/05/2025,11:11:51,C1,0.33637,810.38,15637.7,22.50,22.31,21.88
8/05/2025,11:11:52,C1,0.33649,809.77,15660.1,22.50,22.31,21.88
8/05/2025,11:11:53,C1,0.33659,808.76,15687.8,22.50,22.31,21.88
8/05/2025,11:11:54,C1,0.33658,806.84,15660.5,22.50,22.31,21.88
8/05/2025,11:11:55,C1,0.33634,804.58,15611.2,22.50,22.31,21.88
8/05/2025,11:11:56,C1,0.33634,804.2,15625.9,22.50,22.31,21.88
8/05/2025,11:11:57,C1,0.33626,805.44,15653.7,22.50,22.31,21.88
8/05/2025,11:11:58,C1,0.33653,806.1,15664.6,22.50,22.31,21.88
8/05/2025,11:11:59,C1,0.33622,806.57,15662.9,22.50,22.31,21.88
8/05/2025,11:12:00,C1,0.33659,807.92,15656.1,22.50,22.31,21.88
8/05/2025,11:12:01,C1,0.33611,808.88,15660.7,22.50,22.31,21.88
8/05/2025,11:12:02,C1,0.33653,810.93,15691.9,22.50,22.31,21.88
8/05/2025,11:12:03,C1,0.33649,811.62,15672.8,22.50,22.31,21.88
8/05/2025,11:12:04,C1,0.3363,812.12,15680.1,22.50,22.31,21.88
8/05/2025,11:12:05,C1,0.33681,813.75,15724.5,22.50,22.31,21.88
8/05/2025,11:12:06,C1,0.33635,813.03,15687.8,22.50,22.31,21.88
8/05/2025,11:12:07,C1,0.33648,813.7,15707.6,22.50,22.31,21.88
8/05/2025,11:12:08,C1,0.33662,814.07,15702.6,22.50,22.31,21.88
8/05/2025,11:12:09,C1,0.33615,813.03,15686,22.50,22.31,21.88
8/05/2025,11:12:10,C1,0.33658,814.53,15721.1,22.50,22.31,21.88
8/05/2025,11:12:11,C1,0.33634,815.2,15744.4,22.50,22.31,21.88
8/05/2025,11:12:12,C1,0.33639,815.21,15736.1,22.50,22.31,21.88
8/05/2025,11:12:13,C1,0.33691,816.74,15757.5,22.50,22.31,21.88
8/05/2025,11:12:14,C1,0.33663,816.77,15754.5,22.50,22.31,21.88
8/05/2025,11:12:15,C1,0.33651,816.87,15754.2,22.50,22.31,21.88
8/05/2025,11:12:16,C1,0.33633,816.36,15728.4,22.50,22.31,21.88
8/05/2025,11:12:17,C1,0.33625,816.65,15717.7,22.50,22.31,21.88
8/05/2025,11:12:18,C1,0.33654,820.37,15739,22.50,22.31,21.88
8/05/2025,11:12:19,C1,0.33639,823.24,15756.2,22.50,22.31,21.88
8/05/2025,11:12:20,C1,0.33649,825.34,15737.5,22.50,22.31,21.88
8/05/2025,11:12:21,C1,0.33648,827.66,15785.1,22.50,22.31,21.88
8/05/2025,11:12:22,C1,0.33614,827.95,15764.1,22.50,22.31,21.88
8/05/2025,11:12:23,C1,0.33649,829.54,15757.2,22.50,22.31,21.88
8/05/2025,11:12:24,C1,0.33635,829.99,15772.9,22.50,22.31,21.88
8/05/2025,11:12:25,C1,0.33619,831.25,15787.4,22.50,22.31,21.88
8/05/2025,11:12:26,C1,0.33666,833.19,15814.1,22.50,22.31,21.88
8/05/2025,11:12:27,C1,0.33665,833.44,15815,22.50,22.31,21.88
8/05/2025,11:12:28,C1,0.33637,832.79,15804,22.50,22.31,21.88
8/05/2025,11:12:29,C1,0.3365,832.42,15775.9,22.50,22.31,21.88
8/05/2025,11:12:30,C1,0.3365,831.66,15781.5,22.50,22.31,21.88
8/05/2025,11:12:31,C1,0.33649,831.12,15804.3,22.50,22.31,21.88
8/05/2025,11:12:32,C1,0.33659,829.92,15799.9,22.50,22.31,21.88
8/05/2025,11:12:33,C1,0.3366,829.57,15836,22.50,22.31,21.88
8/05/2025,11:12:34,C1,0.33667,827.72,15807,22.50,22.31,21.88
8/05/2025,11:12:35,C1,0.33656,827.08,15822.3,22.50,22.31,21.88
8/05/2025,11:12:36,C1,0.33655,826.57,15815.6,22.50,22.31,21.88
8/05/2025,11:12:37,C1,0.33641,826.27,15812.3,22.50,22.31,21.88
8/05/2025,11:12:38,C1,0.33672,827.59,15860.8,22.50,22.31,21.88
8/05/2025,11:12:39,C1,0.33646,825.42,15823,22.50,22.31,21.88
8/05/2025,11:12:40,C1,0.33661,824.95,15833.1,22.50,22.31,21.88
8/05/2025,11:12:41,C1,0.33652,824.44,15833.6,22.50,22.31,21.88
8/05/2025,11:12:42,C1,0.33639,823.08,15812.9,22.50,22.31,21.88
8/05/2025,11:12:43,C1,0.33648,823.1,15826.5,22.50,22.31,21.88
8/05/2025,11:12:44,C1,0.33662,823.53,15846.6,22.50,22.31,21.88
8/05/2025,11:12:45,C1,0.33634,822.14,15826.5,22.50,22.31,21.88
8/05/2025,11:12:46,C1,0.3366,822.59,15861.4,22.50,22.31,21.88
8/05/2025,11:12:47,C1,0.33674,821.7,15870.7,22.50,22.31,21.88
8/05/2025,11:12:48,C1,0.33674,821.7,15870.7,22.50,22.31,21.88
8/05/2025,11:12:49,C1,0.33651,819.9,15846.7,22.50,22.31,21.88
8/05/2025,11:12:50,C1,0.33676,820.14,15877.1,22.50,22.31,21.88
8/05/2025,11:12:51,C1,0.33659,818.76,15842.5,22.50,22.31,21.88
8/05/2025,11:12:52,C1,0.33644,818.1,15838,22.50,22.31,21.88
8/05/2025,11:12:53,C1,0.3366,818.12,15854,22.50,22.31,21.88
8/05/2025,11:12:54,C1,0.33631,817.23,15850.3,22.50,22.31,21.88
8/05/2025,11:12:55,C1,0.3363,817.26,15880,22.50,22.31,21.88
8/05/2025,11:12:56,C1,0.33639,817.87,15899.1,22.50,22.31,21.88
8/05/2025,11:12:57,C1,0.33666,818.2,15886.8,22.50,22.31,21.88
8/05/2025,11:12:58,C1,0.33636,817.56,15874.8,22.50,22.31,21.88
8/05/2025,11:12:59,C1,0.33653,818.56,15894.6,22.50,22.31,21.88
8/05/2025,11:13:00,C1,0.3367,819.57,15883.3,22.50,22.31,21.88
8/05/2025,11:13:01,C1,0.33652,819.74,15870.6,22.50,22.31,21.88
8/05/2025,11:13:02,C1,0.33637,820.46,15862.2,22.50,22.31,21.88
8/05/2025,11:13:03,C1,0.33658,822.78,15888.8,22.50,22.31,21.88
8/05/2025,11:13:04,C1,0.33651,825.03,15901.4,22.50,22.31,21.88
8/05/2025,11:13:05,C1,0.33649,827.54,15905.7,22.50,22.31,21.88
8/05/2025,11:13:06,C1,0.33685,830.37,15952,22.50,22.31,21.88
8/05/2025,11:13:07,C1,0.33682,829.98,15911.9,22.50,22.31,21.88
8/05/2025,11:13:08,C1,0.33642,828.13,15876,22.50,22.31,21.88
8/05/2025,11:13:09,C1,0.33638,828.31,15898.2,22.50,22.31,21.88
8/05/2025,11:13:10,C1,0.3366,828.92,15923.1,22.50,22.31,21.88
8/05/2025,11:13:11,C1,0.33629,827.94,15897.2,22.50,22.31,21.88
8/05/2025,11:13:12,C1,0.33632,828.27,15892.3,22.50,22.31,21.88
8/05/2025,11:13:13,C1,0.33679,829.77,15934.3,22.50,22.31,21.88
8/05/2025,11:13:14,C1,0.33625,828.95,15907.8,22.50,22.31,21.88
8/05/2025,11:13:15,C1,0.33638,829.22,15924.2,22.50,22.31,21.88
8/05/2025,11:13:16,C1,0.33633,828.47,15909.8,22.50,22.31,21.88
8/05/2025,11:13:17,C1,0.33663,828.98,15942.7,22.50,22.31,21.88
8/05/2025,11:13:18,C1,0.33661,828.87,15940.1,22.50,22.31,21.88
8/05/2025,11:13:19,C1,0.33681,829.98,15965.9,22.50,22.31,21.88
8/05/2025,11:13:20,C60,0.33669,831.82,15945.8,22.50,22.31,21.88
8/05/2025,11:13:21,C60,0.33667,834.76,15933.6,22.50,22.31,21.88
8/05/2025,11:13:22,C60,0.33669,838.04,15944.8,22.50,22.31,21.88
8/05/2025,11:13:23,C60,0.33642,839.73,15935.7,22.50,22.31,21.88
8/05/2025,11:13:24,C60,0.33658,841.54,15913.5,22.50,22.31,21.88
8/05/2025,11:13:25,C60,0.3368,841.59,15918.2,22.50,22.31,21.88
8/05/2025,11:13:26,C60,0.33699,822.2,15881.8,22.50,22.31,21.88
8/05/2025,11:13:27,C60,0.33683,770.96,15748,22.50,22.31,21.88
8/05/2025,11:13:28,C60,0.33692,716.14,15462.9,22.50,22.31,21.88
8/05/2025,11:13:29,C60,0.33703,674.53,15078.7,22.50,22.31,21.88
8/05/2025,11:13:30,C60,0.33719,645.92,14608.6,22.50,22.31,21.88
8/05/2025,11:13:31,C60,0.33693,626.98,14111.8,22.50,22.31,21.88
